id,FalseSent,ref1,ref2,ref3
6505,يمكن ملء أقلام الرصاص بالحبر.,جوهر الرصاص في قلم الرصاص صلب ، وهو يختلف عن مادة الحبر.,أقلام الرصاص مصنوعة من الرصاص الذي لا يمكن ملؤه بالحبر.,أقلام الرصاص لا تتطلب الحبر ليتم تعبئتها.
6506,قاس شياو مينغ الطول بسكين.,السكين ليس له مقياس للقياس.,يتم استخدام السكين للتقطيع وهي ليست أداة موثوقة للقياس.,السكين لا يساعد في قياس الطول.
6507,عصير الخيار أحمر.,الخيار غني بالأصباغ الخضراء.,عصير الخيار أخضر.,الخيار أخضر
6508,الأم تعمل في الصندوق.,الصندوق أصغر من جسم الأم.,الصندوق صغير جدًا للعمل.,الأم أكبر بكثير من الصندوق.
6509,يذهب أبي للعمل على متن سفينة الفضاء.,أبي لم يكن لديه المال ليطير في مركبة فضائية.,أنت تسافر فقط على مركبة فضائية لتغادر الأرض.,تُستخدم سفينة الفضاء في الفضاء وليس على الأرض للنقل.
6510,يذهب أخي إلى المدرسة حاملاً مفرقعات نارية على ظهره.,إذا ذهبت إلى المدرسة حاملاً مفرقعات نارية على ظهرك ، فلن تسمح المدرسة لأخيك بالدخول.,المفرقعات النارية خطيرة,لا يتجول الناس حاملين مفرقعات نارية مربوطة بهم ، ناهيك عن الذهاب إلى المدرسة معهم حيث يمكن طردهم.
6511,يقوم الفصل بتعيين واجبات منزلية للطلاب.,لا يوجد فكر في الفصل ولن يتحرك.,الفصل الدراسي هو منطقة فعلية.,الفصل ليس هو الكيان الحي
6512,ماري تمشي ديناصوراتها.,الديناصورات ومريم لم يعشوا في عصر.,الديناصورات لا يمكن أن تمشي.,الديناصورات منقرضة
6513,استحم بوب في الوحل.,كان الطين قذرًا ، لذا لم يستطع بوب الاستحمام فيه.,الطين متسخ جدًا للاستحمام الفعال.,سوف يوصلك الوحل إلى الأوساخ.
6514,المعلم يصحح الأدب.,لا يحق للمدرسين مراجعة المستندات.,لا يغير المعلمون أبدًا محتويات أي من الأدبيات التي يقومون بتدريسها.,يتم تدريس الأدب من قبل المعلم
6515,اللغة الأم للصينية هي الإنجليزية.,اللغة الإنجليزية هي اللغة الأم للدول الغربية.,تستخدم اللغة الصينية اللغة الصينية للتحدث في المنزل.,يتم التحدث باللغة الإنجليزية بشكل أساسي في الولايات المتحدة الأمريكية.
6516,الوشم من المأكولات الصينية التقليدية.,الصين ليست معتادة على أكل اللحوم النيئة مثل الوشم.,لا يمكن أكل الوشم كغذاء.,الأوشام غير صالحة للأكل.
6517,نرتدي سترات قطنية في الصيف.,يكون الجو حارًا جدًا لارتداء سترة قطنية في الصيف.,نرتدي ملابس فضفاضة مثل القمصان والقمصان في الصيف وليس السترات.,السترات القطنية دافئة جدًا في الصيف
6518,عمي يقطف الفاكهة في الشتاء.,لا تثمر الأشجار في الشتاء.,الشتاء بارد جدًا بحيث لا يمكن للفاكهة أن تنمو.,الشتاء ليس الموسم المثالي لقطف الفاكهة بسبب ظروف الطقس البارد.
6519,أخذ كيفن الكلب إلى الصاروخ.,الكلب لا يستطيع الحصول على الصواريخ.,الصاروخ ليس شيئًا مناسبًا للكلب للتفاعل معه بأي شكل من الأشكال.,لا يسمحون للكلاب بالصواريخ أو حتى بالقرب منها.
6520,تضع ديزي الطعام في المكيف.,لا يمكن أن يكون هناك أي شيء في مكيف الهواء.,مكيفات الهواء ليست مصممة لحمل الطعام من أي نوع.,مكيف الهواء لتبريد الغرفة وليس لحفظ الطعام.
6521,تنقع جوان الشاي في الزيت.,لا يمكن استخدام الزيت لصنع الشاي.,لا يمكنك شرب الزيت,لا يمكن نقع الشاي في الزيت لأنه غير قابل للذوبان.
6522,يحتاج الأشخاص المصابون بنزلات البرد إلى قماشة الصحون لمسح أنوفهم.,قماشة الصحون متسخة وغير مناسبة لسيلان الأنف.,لا يمكن استخدام قماشة الصحون لمسح الأنف.,قماشة الصحون مخصصة لمسح الأطباق فقط.
6523,يتم طهي الستيك في وعاء.,لا يمكن استخدام الأطباق في قلي شرائح اللحم.,لا يمكن تحضير شرائح اللحم بشكل صحيح في وعاء.,يمكنك تناول الطعام من وعاء ، لكن لا يمكنك طهي الطعام في وعاء.
6524,ارتدى جورج بيجاما للعمل.,لا يمكن ارتداء البيجاما إلا في المنزل. ليس من المناسب لبسه للعمل.,يجب عدم ارتداء البيجاما خارج منزلك.,سيكون من المستهجن ارتداء البيجامات في العمل لأنها مخصصة للنوم.
6525,الجدة متماسكة مع السحب.,تتكون الغيوم من بخار الماء ولا يمكن صنعها من القماش.,لا يمكن استخدام الغيوم للتماسك,الغيوم ليست نوعًا من مواد النسيج التي يجب ربطها ، كما أن السحب موجودة في السماء.
6526,المبرمجون يستخدمون النول للبرمجة.,ليس للنول وظيفة البرمجة.,المنوال ليست أجهزة.,تستخدم النول في نسج القماش ولا علاقة لها بالبرمجة.
6527,طوى العمة الزجاج.,الزجاج صلب ولا يمكن طيه.,لا يمكنك طي الزجاج لأنه قد ينكسر.,يجب أن يكون الزجاج ساخنًا جدًا ليتم طيه
6528,أكياس القماش مقاومة للماء.,أكياس القماش منسوجة بخيوط وتمتص الماء.,لا يمكن أن تكون أكياس القماش مقاومة للماء.,ستبتل قطعة القماش دائمًا ما لم تخضع لمعاملة خاصة.
6529,تستخدم الفتيات ورق التواليت لإزالة المكياج.,سوف ينكسر ورق التواليت عندما يقابل الماء. لا يمكن استخدامه لإزالة المكياج.,ورق التواليت شيء لا يمكن استخدامه لإزالة المكياج.,ورق التواليت سيكون سيئًا في إزالة الماكياج
6530,استخدم القدماء الجليد للتدفئة في الشتاء.,الجليد بارد ولا يوفر حرارة.,الجليد بارد.,يخفض الثلج درجة حرارة الهواء قليلاً ولا يسخن.
6531,يشرب الأشخاص العاديون ثمانية أكواب من المشروبات يوميًا.,المشروبات ليست ضرورة يومية.,تكرار كلمة شراب.,الشراب كحول وليس مفيدًا للصحة
6532,ينظف الناس أسنانهم بمشط كل يوم.,يستخدم المشط لتمشيط الشعر وليس لتنظيف الأسنان.,المشط للشعر وليس للأسنان,يستخدم المشط على الشعر وليس الأسنان.
6533,تحب الطيور أكل العظام.,فم الطائر لا يستطيع أن يعض العظام.,الطيور تأكل الديدان والحشرات.,كانت الطيور تختنق بالعظام
6534,استخدم القدماء القرود للطحن.,القرود شقية وخفيفة. فهي ليست مناسبة لطحن الإنسان.,القردة أضعف من أن تستخدم في الطحن.,القرود لا تستطيع حمل الناس عليها.
6535,يخرج النحل لجمع الندى ليصنع العسل.,النحل لا يصنع العسل بأكل الندى.,النحل غير قادر على جمع الندى.,الندى هو المكون الخاطئ لصنع العسل.
6536,الغراب يغني جيدًا.,يمكن للغراب فقط الدجال وصوته سيء ​​للغاية.,لا تشتهر الغربان بغنائها وتحدث ضوضاء مزعجة.,تصدر الغربان صوتًا مزعجًا من الصعب جدًا الاستماع إليه.
6537,قام الساعي بتسليم البضائع إلى منزله.,الساعي ليس مهنة توصيل.,لم يكن الساعي يعرف العنوان,شركة Courier تقوم بتوصيل البضائع إلى منازل الآخرين.
6538,قام العامل بترجمة الخطاب إلى الجمهور.,واجب المشغل ليس الترجمة.,تتمثل مهمة المشغلين في توجيه أشياء مثل الأشخاص أو المركبات الآلية إلى الشخص أو المكان المطلوب.,عامل لا يعمل كمترجم.
6539,قام المبرمجون بتصميم وبناء مباني وسط المدينة.,وظيفة المبرمجين هي البرمجة عن طريق الكمبيوتر.,يمكن للمبرمجين القيام بالبرمجة على أجهزة الكمبيوتر ، ولا يمكنهم بناء وتصميم المباني في وسط المدينة.,يقوم المبرمجون ببناء برامج الكمبيوتر.
6540,شرطة المرور تقف حراسة في المنزل.,شرطة المرور تدير حركة المرور عند التقاطعات.,الوصف الوظيفي لشرطة المرور هو حراسة المرور على الطريق ، وليس في المنزل.,لا تقف شرطة المرور حراسة في المنزل حيث أن منازلهم آمنة ولا تتحرك فيها السيارات.
6541,قام المعلمون بتنظيف جانب الطريق.,وظيفة المعلمين هي تعليم وتثقيف الناس.,من المفترض أن يقوم المعلمون بالتدريس,يقوم المدرسون بتدريس الطلاب في الفصل.
6542,الموصل يبيع البضائع للعملاء.,بائعو التذاكر مسؤولون عن بيع التذاكر في المحطات أو المواقع ذات المناظر الخلابة.,موصل يقود قطارًا وليس بائعًا,وظيفة الموصلات هي قيادة القطار بأمان.
6543,يتم إرسال زهور الفاوانيا في يوم عيد الحب.,ترمز الفاوانيا إلى الأناقة وليس عيد الحب.,زهور الفاوانيا ليست تقليدية في عيد الحب.,الفاونيا ليست تقليديا زهرة رومانسية لمنح الناس
6544,ربطة عنق تستخدم لربط الخصر.,يتم ارتداء ربطة العنق على الياقة وليس على الخصر.,ربطة عنق تنتمي إلى العنق.,ربطة عنق يلبسها المرء.
6545,الرياح القوية تقتل الناس.,سوف تهب الرياح القوية الناس غير مرتاحين ، لكنها ليست مهددة للحياة.,الرياح لا يمكن أن تؤذي أحدا.,الرياح القوية شائعة جدًا وإذا كانت قاتلة لكان الكثير من الناس يموتون يوميًا ،
6546,يحتاج الأشخاص الذين عضتهم الكلاب إلى كسر لقاح البرد.,لقاح الكزاز ليس له تأثير على فيروس داء الكلب.,لا يوجد لقاح لنزلات البرد ولا يمكنك الإصابة بنزلة برد من عضة كلب.,لقاح البرد غير موجود.
6547,تحمي القفازات قدميك من التآكل.,لا يتم ارتداء القفازات على القدمين ، فهي تحمي اليدين.,لا توضع القفازات على قدميك أبدًا.,تلبس القفازات على يديك
6548,تسجل الكتب ما يحدث كل يوم.,الكتب ليست في الوقت الفعلي ولا تسجل أحداث اليوم.,تُستخدم الكتب لتسجيل ما يحدث على مدى فترات زمنية أطول وليس يومًا بعد يوم.,مسجل بتتبع الأحداث اليومية.
6549,ركضت السفينة على الطريق.,سافرت السفينة في البحر.,السفن في الماء,السفن تستخدم فقط للنقل في الماء
6550,أمسح شعري بلحاف.,يمكن أن تتبلل الألحفة عند استخدامها لمسح الشعر.,اللحاف كبير جدًا بحيث لا يمكن استخدامه كمنشفة وهو غير مصمم لامتصاص الماء ثم التجفيف.,تستخدم الألحفة للزينة والدفء.
6551,العيون في صندوق النظارات.,العيون تنمو على وجوه الناس.,تقع العيون في ثقوب الجمجمة.,مربع ابدا مصنوع من العيون.
6552,يمكن للحليب أن ينعش الناس.,يعزز الحليب النوم ولا ينعش الناس.,الحليب لا يحتوي على مادة الكافيين,لا يحتوي الحليب على أي إضافات من شأنها أن تنعش الشخص
6553,تستخدم حبوب البن لطحن الكاكاو.,حبوب الكاكاو مسحوق مطحون.,الكاكاو مصنوع من حبوب الكاكاو.,الكاكاو مصنوع من حبوب الكاكاو
6554,شاي الزهرة هو شاي مخمر.,يُقلى شاي الورد بخلط الزهور مع الشاي.,لا يتم تخمير شاي الزهرة.,شاي الزهرة هو شاي جاف فقط.
6555,يمكن للسكر أن يجعل الخضار مالحة.,السكر حلو. يجعل الطعام حلو.,يضيف السكر نكهة حلوة للمواد الاستهلاكية.,السكر حلو.
6556,يستخدم الصوف لنقل الكهرباء.,الصوف عازل والتيار لا يمر.,الصوف ليس موصلًا ، لذلك لا يمكنه نقل موجات التيار.,لا يمكننا استخدام الصوف لنقل الطاقة.
6557,تعيش الحبار في الأنهار.,تعيش الحبار في البحر ولا يوجد ملح كاف في النهر.,تعيش الحبار فقط في المحيطات.,الأنهار مياه عذبة ، والحبار يعيش في المياه المالحة.
6558,تنمو الفراولة على الأشجار.,تنمو الفراولة في الشجيرات.,تنمو الفراولة على الأرض.,تنمو الفراولة على الشجيرات وليس على الأشجار.
6559,يخرج الصوف من الذئاب.,شعر الذئب هو شعر الذئب.,الذئاب لها فرو لا صوف,لا يستخدم فرو الذئاب في الملابس.
6560,يمكن للناموسيات أن تحمي من أشعة الشمس.,الناموسيات شفافة ولا تحمي من أشعة الشمس.,الناموسيات شفافة.,ضوء الشمس صغير بما يكفي للمرور عبر ناموسية.
6561,يمكن للفيلم الفولاذي حماية غلاف الهاتف المحمول.,فيلم الصلب غير متصل بقشرة الهاتف المحمول ، ولا يمكنه حماية الغلاف.,لا يمكنك تغطية الهاتف بالكامل,الهواتف المحمولة لا تحتوي على قذائف
6562,الأسماك تتنفس من خلال جلدها.,الجهاز التنفسي للأسماك هو الخيشومية.,الأسماك تتنفس من خلال الخياشيم.,لا يستخدم الجلد للتنفس من أجل الأسماك.
6563,الفتيات يربطن شعرهن بالأسلاك.,لا تتمتع الأسلاك بالمرونة والاحتكاك ولا يمكن استخدامها لربط الشعر.,لا تستخدم الفتيات الأسلاك لربط شعرهن.,الأسلاك صلبة وغير مرنة.
6564,يمكن أن تحتوي الزجاجات البلاستيكية على الماء المغلي.,تذوب الزجاجات البلاستيكية في درجات حرارة عالية.,سيذيب الماء المغلي الزجاجة البلاستيكية.,الزجاجات البلاستيكية ليست قوية بما يكفي لغلي الماء.
6565,المغني يغني بقدميه.,الأقدام لا تستطيع الغناء.,الأقدام ليست مسموعة.,الأقدام تصنع عازفي طبول أفضل ، فهي ليست الأكثر صوتًا.
6566,استمع الطبيب إلى دقات القلب بجهاز تحكم عن بعد.,جهاز التحكم عن بعد لا يمكنه نقل صوت دقات القلب إلى الطبيب.,تستخدم أجهزة التحكم عن بعد لضبط الإعدادات أثناء تشغيل الإلكترونيات.,لا تساعد أجهزة التحكم عن بعد الأطباء على سماع الأشياء بشكل أفضل.
6567,قامت الممرضة بحقن المريض بضمادة.,لا تحتوي الضمادة على إبر لاختراق الجلد ، ولا يمكنها حمل السوائل.,تستخدم ضمادة للجروح الخارجية.,تغطي الضمادة مكانًا بعد حقنة حقنة ولكنها ليست مدببة ولا يمكنها إعطاء حقنة.
6568,الخياط يصنع الملابس بجهاز تلفزيون.,لا يمكن استخدام جهاز التلفزيون لصنع الملابس.,جهاز التلفزيون ليس لديه طريقة لصنع الملابس.,يمكن للخياط أن يتعلم مهارات الخياطة من خلال مشاهدة التلفاز ، ولكن لا يمكنه أن يصمم إلا بيديه.
6569,المضيفة تعمل على سفينة الفضاء.,لا توجد مضيفة على متن الطائرة.,سفينة الفضاء هي المكان الذي لا تعمل فيه المضيفة.,سفن الفضاء لها رواد فضاء.
6570,يقلب الطباخ الأطباق بملعقة.,الملعقة غير ملائمة للطبخ.,الملعقة عبارة عن أدوات مائدة صغيرة جدًا يصعب تقليبها في الأطباق,الملعقة صغيرة جدًا لتقليب الأطباق
6571,قام الحلاق بقص شعره بالصابون.,الصابون لا يقص الشعر.,الصابون ليس حادًا ولا يمكن استخدامه لقطع أي شيء.,لا يمكن استخدام الصابون لقص الشعر.
6572,يمكن استخدام الشاحن للاستماع إلى الموسيقى.,الشاحن لا يمكنه تشغيل الموسيقى.,يستخدم الشاحن لتجديد البطارية وهو غير مصمم لنقل الصوت.,للاستماع إلى الموسيقى ، يلزم وجود هاتف أذن وشحن شاحن محمول.
6573,كانت السيارة تسير على سكة الحديد.,لا يمكن أن تعمل السيارة على السكك الحديدية.,الإطارات ليست مصنوعة لتشغيل مسارات القطارات.,لا يمكنك القيادة على المسارات
6574,تضع ليندا الوجبات الخفيفة في الغسالة.,الوجبات الخفيفة ستتسخ الغسالة.,الغسالة شيء لا يمكننا وضع الوجبات الخفيفة فيه من قبل ليندا.,لتخزين الوجبات الخفيفة ، تستخدم برطمانات / حاويات لا تستخدم في الغسالة.
6575,يمكن لمعان الشفاه أن يجعل الشفاه حمراء.,ملمع الشفاه عديم اللون ولا يضيف لونًا إلى شفتيك.,لمعان الشفاه هو جعل الشفاه تبدو لامعة وليست حمراء,لا يمكن لمعان الشفاه أن يجعل الشفاه حمراء دائمًا لأنها تعتمد على كيفية تطبيقها.
6576,هناك أسود وفيلة ونمور في الحديقة.,لا توجد حيوانات كبيرة في الحديقة.,يتم الاحتفاظ بهذه الحيوانات البرية فقط في بيئات خاضعة للرقابة ولا تُترك بحرية بين الناس.,هذه الحيوانات لا تنتمي إلى حديقة
6577,هناك سمكة صغيرة في السماء.,تعيش الأسماك الصغيرة في الماء ولا يمكنها الطيران في السماء.,السمك لا وجود له في السماء.,تعيش الأسماك في الماء فقط
6578,قاد الطيارون الدبابة.,الطيارون لا يقودون الدبابات باحتراف.,لا يتم تشغيل الدبابات من قبل طياري الطائرات.,كلمة الطيار هي عنوان يعطى للأشخاص الذين تم تدريبهم في مجال الطيران.
6579,معلمو الأسرة يعلمون الحيوانات الصغيرة.,لا تحتاج الحيوانات الصغيرة إلى أن يتعلمها المعلمون.,تفتقر الحيوانات الصغيرة إلى الذكاء المطلوب لمعالجة التعليم المقدم في المدارس للبشر.,لا أحد يستطيع تعليم الحيوانات.
6580,قام المصور بتكوين الممثلين.,الممثلون لديهم متخصصون في الماكياج.,لا يمكن أن يتم إنشاء الممثلين بواسطة مصور.,المصورون يصورون مواقف الحياة الواقعية والأشخاص والأشياء.
6581,يمكن استخدام الغسالة لتسخين الطعام.,لا تحتوي الغسالة على وظيفة تسخين الطعام.,تستخدم الغسالات لتنظيف الملابس وليس لتسخين الطعام.,لا يتم تسخين الغسالة لتسخين الطعام.
6582,يمكن استخدام السجادة للتدفئة.,السجادة رائعة ، ستجعل الناس أكثر برودة.,يتم استخدام حصيرة للأرضية.,الحصير لا يوفر الحرارة.
6583,يمكن استخدام مسحوق الحليب في تنظيف الأسنان.,مسحوق الحليب ليس له وظيفة تنظيف الأسنان.,مسحوق الحليب يستخدم للطهي.,مسحوق الحليب شيء لا يمكن استخدامه في تنظيف الأسنان.
6584,يمكن استخدام المياه المعدنية لتفجير الفقاعات.,المياه المعدنية ليست لزجة وسوف تنفجر الفقاعات قريبًا.,لا يمكن استخدام فقاعات النفخ في المياه المعدنية.,الماء والصابون يمكن أن يصنع فقاعات وليس مياه معدنية.
6585,يمكن لأقراص السكر علاج الأمراض.,لا يمكن استهداف حبوب السكر لعلاج الأمراض.,تزيد حبوب السكر من مستوى السكر مما يؤدي إلى الإصابة ببعض الأمراض الخطيرة.,السكر لا يحتوي على دواء
6586,يمكن أن يمنع الورق الماء من التسرب.,الورق يمتص الماء والماء المتسرب.,عندما يبتل الورق يصبح ضعيفًا.,الورق عنصر غير مقاوم للماء ، ولا يمكن حمايته من التسرب.
6587,رقائق البطاطس مصنوعة من الخيار.,الخيار ليس المادة الخام لرقائق البطاطس.,قد يصنع الخيار رقائق الخيار فقط ، وهذا ليس شيئًا.,لا يستخدم الخيار في صنع رقائق البطاطس.
6588,يمكن استخدام علبة البودرة لوضع النظارات.,علبة البودرة أصغر من الأكواب.,يستخدم صندوق مسحوق لتخزين البودرة.,للسلطة هناك صندوق طاقة وليس للنظارات
6589,تعمل الدراجات ذات العجلات الثلاث على الطريق السريع.,لا يُسمح للدراجات ذات العجلات الثلاث بالسير بسرعة عالية.,الطريق السريع هو المكان الذي لا تعمل فيه الدراجة ذات العجلات الثلاث.,الدراجات ثلاثية العجلات صغيرة جدًا وبطيئة وغير آمنة لاستخدامها على الطرق السريعة.
6590,يركض الناس في ممرات غير مزودة بمحركات.,الناس ليسوا مركبات غير آلية.,الممرات غير المزودة بمحركات هي مكان لا يمكن للناس الركض فيه.,يركض الناس على الرصيف وليس في ممر.
6591,كتلة الجليد تحمي اليد من قضمة الصقيع.,يمكن أن يسبب الجليد قضمة الصقيع.,قضمة الصقيع ناتجة عن درجات الحرارة الباردة ، مثل الجليد.,لا يمكن حماية قضمة الصقيع من كتلة الجليد.
6592,تحتاج الأقفال إلى فتح الشعر.,الشعر لا يقفل.,يتم تعيين تسلسل محدد جدًا للقفل للوصول إليه.,تحتاج الأقفال إلى المفتاح لفتحها
6593,احتاج المحاسبون القدامى إلى آلة حاسبة لتسوية الحسابات.,لم يكن هناك آلة حاسبة في العصور القديمة.,الآلات الحاسبة اختراع حديث.,الآلات الحاسبة لم تكن موجودة في العصور القديمة.
6594,يستخدم المحامون القوة لرفع دعوى.,من الخطأ رفع الدعوى بالقوة.,يلتزم المحامون بالمحكمة وتتبع المحكمة القانون لرفع دعوى.,القوة من فيلم خيالي وليست شيئًا يمكن استخدامه في الحياة الواقعية
6595,يستخدم الصحفيون الأكواب لإجراء المقابلات.,لا يمكن للأكواب تضخيم الصوت وتسجيله.,الكأس جهاز لا يمكن استخدامه في المقابلة.,يشرب الناس من الكؤوس.
6596,الرسام يرسم بشعره.,لا يمكن استخدام الشعر كأداة رسم.,لا يمكن للإنسان الرسم جسديًا بشعره وحده ، فالشعر ليس عضلة يمكن التحكم فيها.,الشعر لا يحتوي على حبر
6597,يستخدم عازفو البيانو ألسنتهم في العزف على البيانو.,اللسان ليس مرنًا بما يكفي للعزف على البيانو.,يستخدم اللسان لتذوق الطعام,البيانو ليس آلة يعزف عليها اللسان.
6598,يستخدم النحاتون أعواد قطنية للنحت.,لا تحتوي قطعة القطن على حافة حادة للسكين.,المسحات القطنية مملة وناعمة جدًا لنحت أي شيء.,مسحات القطن ليست حادة بما يكفي للنحت.
6599,الكاتب يكتب بالماوس.,يحتوي الماوس على مفتاحين فقط ولا يمكن استخدامه للكتابة.,يتم استخدام الماوس للإشارة والنقر.,الفأر حيوان
6600,يخلط النادل الخمر بفمه.,ليس من الصحي خلط النبيذ مع فمك. لا أحد يريد أن يشربه.,لا يستطيع النادل فعل ذلك لأنه سيعيد اللعاب إلى النبيذ.,لخلط نادل النبيذ يمكن استخدام الزجاج وليس الفم.
6601,الدب يلوم الآخرين ..,حكمة بير ليست كافية,لا يلقي الدببة باللوم على الآخرين ولا يهتم بشكل خاص بالمخطئ.,الدببة ليست بشرًا ولا تعرف ما الذي يعنيه إلقاء اللوم.
6602,سقى الزهور بالبنزين,البنزين يؤذي الزهور,البنزين من شأنه أن يدمر النباتات.,الجازولين يقتل الزهور.
6603,يطعم طن النمور بالخيزران,النمور لا تأكل الخيزران,لن يكون النمور راضين عن أكل الخيزران.,النمور لا تأكل الخيزران.
6604,قام سام بخياطة الملابس بالعصي,العصا سميكة.,العصي سميكة جدًا ولا يمكن استخدامها في الخياطة.,لن تكون العصي فعالة في الخياطة
6605,برد نفسه بالتدفئة,التدفئة ساخنة جدا,التدفئة تجعله ساخنًا وليس باردًا,الثلاجات باردة
6606,دفع المنزل بيده,البيت ثقيل.,البيت مكان قوي جدًا لا يمكن دفعه.,المنزل ثقيل جدًا بحيث لا يمكن دفعه
6607,استخدم Wrtyuio الأسد خزانة الملابس,الأسد حيوان,أسد خزانة الملابس ليس شيئًا حقيقيًا أو يمكن استخدامه.,الأسد حيوان بري.
6608,يأكل الفولاذ.,لا يمكن أكل الحديد والصلب,كان ستيل يكسر أسنانه.,لا يستطيع الإنسان هضم الفولاذ.
6609,يأكل الناس بالحجارة,الأحجار صعبة الأكل,لا يمكن استخدام الأحجار لأكل الطعام.,لا يمكن هضم الأحجار.
6610,يزرع الناس الحجارة في الأرض.,لا يمكن زرع الحجر,الحجارة شيء لا يمكن غرسه في الماء.,لا تنمو الأحجار لذلك سيكون من غير المجدي زراعتها.
6611,التماسيح في الصحراء,تمساح في الماء,التماسيح هي زواحف شبه مائية لذا لا يمكنها العيش في الصحراء.,تعيش التماسيح في الماء
6612,النمل في البحر,النمل على الأرض,النمل يغرق ويموت في البحر.,يعيش النمل على الأرض.
6613,الفيلة تأكل اللحوم,الفيلة نباتية,تعتبر الفيلة من الحيوانات العاشبة ، لذا فإن اللحوم ليست جزءًا من وجباتها الغذائية.,الفيلة من الحيوانات العاشبة وتأكل المواد النباتية.
6614,الكلب يطبخ.,لا يمكن للكلاب استخدام أدوات المطبخ,الكلاب ليس لديها إبهام لمساعدتها على الطهي.,لا يستطيع الكلب الطهي كما هو صغير ولا يفهم كيف يطبخ
6615,قص الفيل بعصي تناول الطعام,الفيل كبير جدا.,عيدان تناول الطعام ليست فعالة في قص الفيل.,عيدان الأكل هي أواني.
6616,قطع بوب الصفيحة الفولاذية بسكين.,الصفيحة الفولاذية أصلب من السكين,الصفيحة الفولاذية صعبة للغاية.,السكين ليس حادًا بما يكفي لقطع الفولاذ.
6617,القفازات تحمي القدمين,القفازات ليست على قدميك,القفازات للأيدي.,عدم ارتداء القفازات على القدمين.
6618,يلعب الشمبانزي بأجهزة الكمبيوتر,لا تستطيع الشمبانزي اللعب بأجهزة الكمبيوتر,لا يعرف الشمبانزي كيفية استخدام أجهزة الكمبيوتر.,لا يعرف الشمبانزي حتى الآن كيف يلعب بأجهزة الكمبيوتر.
6619,قرد يقود.,القرود ليست ذكية بما فيه الكفاية,القرد حيوان بري.,القرد لا يستطيع القيادة.
6620,النمر يأكل الخضار,النمور من الحيوانات آكلة اللحوم,الخضار شيء لا يستطيع النمر أكله.,النمر هو آكلة اللحوم ، لذلك فهو لن يأكل الخضار.
6621,الدلافين تمشط شعرها,الدلافين ليس لها شعر,لا تعرف الدلافين أن تمشط,لا تملك الدلافين أيدي لتمشيط الشعر بها.
6622,الكلب يدفع الصندوق.,الكلاب ليس لها أيدي,الكلب ليس قوياً أو ذكياً بما يكفي لدفع صندوق.,الكلاب ليس لديها أيدي لدفع الأشياء.
6623,الثعابين ترتدي الأحذية,الثعابين ليس لها أقدام,الثعابين ليس لها أقدام.,الثعابين ليس لها أرجل أو أقدام.
6624,يشرب الباندا الماء من الكؤوس,ليس لدى الباندا أكواب في أيديهم,يشرب الباندا الماء مباشرة من بحيرة أو نهر.,الباندا ليست متحضرة بما يكفي لاستخدام الكؤوس.
6625,الكلب يقوم بتقليم الزهور والعشب,الكلاب لا تستخدم الأدوات.,الكلاب لا تعرف كيف تزرع الحدائق.,الكلاب ليست بستاني
6626,النمل يصحح التكوين,لا يكفي معدل ذكاء النمل لتعديل التركيبة,النمل ليس ذكيًا بما يكفي أو قادرًا على تصحيح أي تكوين.,يقوم بوب بمراجعة تركيبته
6627,يغسل قدميه في كوب ماء,كوب الماء أصغر من قدم,لن يكفي كوب الماء لغسل قدميه.,حجم كوب الماء صغير جدًا لاستخدامه في غسل القدمين.
6628,تمسك بالشجرة بعصا,العصا ليست حادة بما فيه الكفاية,لا يمكن استخدام العصا للتشبث بالشجرة.,لا يمكن للعصا أن تشبك الأشياء أو تمسك بها.
6629,الإبرة في فم الزجاجة.,الإبرة أصغر من فم الزجاجة.,لا تتكون الزجاجة من إبرة.,عادة ما تكون الإبرة أداة رفيعة وحادة يمكنها بسهولة ثقب الجلد وإصابة الشخص.
6630,غازات الجهاز التنفسي البشري,الغاز سام,يأخذ الإنسان الأكسجين من الهواء ويخرج ثاني أكسيد الكربون.,غازات الجهاز التنفسي: أي غاز يشارك في عملية التنفس
6631,ينظر إلى المشهد باستخدام عيدان تناول الطعام,لا تستطيع عيدان تناول الطعام رؤية المشهد,عيدان تناول الطعام هي شكل من أشكال أدوات المائدة.,عيدان تناول الطعام للأكل.
6632,الفأرة مصنوعة من المطاط,المطاط أنعم من الماوس,لا يمكن استخدام المطاط لصنع الماوس.,المطاط مادة لا تجعل الفأرة جيدة.
6633,الناس يتشاجرون بالكؤوس,الكأس لا يمكن أن تؤذي أحدا.,الكؤوس ليست أسلحة ولا يمكنها القتال.,الكؤوس ليست أسلحة موثوقة لاستخدامها في القتال.
6634,تألق الأحذية على الأرض,الأحذية لا تلمع,الأحذية لا تنتج الضوء,الأحذية ليست كبيرة بما يكفي للتألق على الأرض كلها.
6635,تقوم الثلاجات بطهي الطعام,ثلاجة طعام مبرد,تستخدم الثلاجات للحفاظ على الأشياء باردة ولكن ليس للطهي.,يمكن للمرء أن يحتفظ بالطعام في الثلاجات وليس للطبخ.
6636,يأكل الناس بأقدامهم.,القدم لا تستطيع أن تأكل,لا يمكن استخدام القدمين لجلب الطعام إلى فمك.,القدم جزء من الجسم لا يحتاج إلى الأكل.
6637,قام بقص شعره باليد,اليد هي قصة شعر مستمرة.,اليد ليست حادة بما يكفي لقص الشعر.,اليد جزء من جسده لا يمكن استخدامها لقص شعره.
